"filename","unplatted_property","abstract_no","county","propertyid","geographicid"
"24366 - 2023 Easement from Rios for 12.5 acres (filed 04-14-2023).txt","12.50","34","PARKER","R000113777","20034.017,002.00"
"24644 - 2023 Easement from Eagle Creek Park for 6 acres (filed 02-06-2023).txt","6.20","1374","PARKER","R000080012","21374,010,000.50"
"25783 - 2023 Easement from Smith for 12 acres (filed 04-05-2023).txt","12.143","1023","PARKER","R000119141","21023,001.003.00"
"26048 - 2022 Easement from SDSD for 142 acres (filed 10-17-2022).txt","142.65","973","Haskell","",""
"26275 - 2022 Easement from Wiens for 29 acres (filed 12-30-2022).txt","29","257","JACK","610121","22572-02034-00403-000000"
"27275 - 2022 Easement from PISD for 41 acres (filed 12-01-2022).txt","41.362","1203","PARKER","R000072144","21203.003.003.00"
"27510 - 2022 Easement from Pleasant Texas Shelters for 24 acres (filed 02-06-2023).txt","24.787","611","Tarrant","",""
"27562 - 2022 Easement from Perales for 30 acres (filed 02-06-2023).txt","30.63","498, 219","Parker","R37453R41547",""
"27563 - 2022 Easement from Honey Rock for 3016 acres (filed King 01-30-2023).txt","3,016.40","651,1188","Stonewall and King","",""
"27563 - 2022 Easement from Honey Rock for 3016 acres (filed Stonewall 02-07-2023).txt","3,016.40","651,1188","Stonewall and King","","PROPERTYI:"
"27586 - 2022 Easement from Mooney for Lot 1 (filed 01-23-2023).txt","","","","R000122620",""
"27696 - 2022 Easement from Wyatt for Lot 31 Lago Lindo (filed 09-19-2022).txt","","","","R0000/3786","14240.001.031-00"
"27832 - 2022 Easement from Shellco for 5 acres (Parker filed 10-27-2022).txt","5.0","879 $ 1216","Tarrant & Parker","",""
"27832 - 2022 Easement from Shellco for 5 acres (Tarrant filed 10-27-2022).txt","5.0","879 $ 1216","Tarrant & Parker","",""
"27832 - 2023 Easement from Munoz for 4.85 acres (filed PC 01-23-2023).txt","4.85","879 and 1216","TARRANT and PARKER","R000047148","20879,003.000.00"
"27832 - 2023 Easement from Munoz for 4.85 acres (filed TC 01-23-2023).txt","4.85","879 and 1216","TARRANT and PARKER","R000047148","20879.003.000.00"
"27976 - 2022 Easement from Lawson for 2.652 acres (filed 12-27-2022).txt","2.652","457","TARRANT","00003863077","TAD Map:

 2072-448"
"28016 - 2022 Easement from Hawley for 19.32 acres (filed 10-27-2022).txt","19.32","2809","Parker","",""
"28016 - 2022 Easement from Prairie for 0.166 acres (filed 12-01-2022).txt","","","","",""
"28132 - 2022 Easement from DBF LT Balboa for 0.025 acres (filed 10-13-2022).txt","","","","",""
"28362 - 2022 Easement from Bell for 107 acres (filed 01-23-2023).txt","107.454","2646, 148","PARKER","R000122252, R000122253","22646.002.003.00. 20148.001.004.00"
"28362 - 2022 Easement from McElroy for 50 acres (filed 01-23-2023).txt","50.819","","PARKER","R000122246",""
"28362 - 2022 Easement from Singleton for 10 acres (filed 01-23-2023).txt","10.232","148 Parker County, Texas, as more","ST# fully described in an instrument recorded in Volume Page of the need Records of Parker","R00012255 + R000122256",""
"28362 - 2022 Easement from Stevens for 41 acres (filed 12-27-2022).txt","41.322","2699","","R000122248","20148.001.003.00"
"28362 - 2023 Easement from Fields for 107 acres (filed 01-23-2023).txt","107.454","2646, 148","PARKER","R000122252, R000122253","22646.002.003.00, 20148.001.004.00"
"28374 - 2022 Easement from Brown for 89 acres (filed 10-14-2022).txt","89","505","Hood","",""
"28389 - 2022 Easement from Hunt and Fare for Lot 7 (filed 12-05-2022).txt","","","","R000030582","R1200.0690.00"
"28410 - 2022 Easement from Armstrong for 16.91 acres (filed 12-12-2022).txt","16.91","240","WISE","R000005270","A0240.0016.01"
"28747 - 2022 Easement from Kasterke for 11 acres (filed 11-17-2022).txt","11.65","1915","Parketin","R000120664",""
"28820 - 2023 Easement from AANI Real Estate for 1.32 acres (filed 04-05-2023).txt","1.32","265","TARRANT","04476395","TAD Map:

 2066-468"
"29165 - 2022 Easement from RR Cross for 14 acres (filed 12-08-2022).txt","14.40","879","PARKER","R000100348","20879.002.002.00"
"29195 - 2022 Easement from Galindo and Rodriguez for Lot 26 Denton Heights (filed 10-14-2022).txt","","","","",""
"29216 - 2022 Easement from Neeley for 11.78 acres (filed 09-26-2022).txt","11.780","","Parker","",""
"29232 - 2023 Easement from Willow Park with Exhibit A (filed 03-15-2023).txt","","","","",""
"29232 - 2023 Easement from Willow Park with Exhibit A (filed 03_02_2023).txt","","","","",""
"29274 - 2022 Easement from Two Covenant for 122 acres (filed 12-01-2022).txt","122.00","895","PARKER","",""
"29287 - 2022 Easement from Puga for 18 acres (filed 11-17-2022).txt","18.00","1371, 879","PARKER","R000111702, R000088381, 20879.002,000.50 R000047147",""
"29353 - 2022 Easement from Brakes Plus for Lot 3 (filed 12-27-2022).txt","","","","42777951","30294G-A-3"
"29353 - 2022 Easement from MQ for multiple lots (filed 11-10-2022).txt","","","","42777834, 42777842 30294G-A-4, 30294G-A-5 42777869, 42777877","30294G-A-1, 30294G-A-2"
"29357 - 2022 Easement from Porterfield for 53 acres (filed 12-08-2022).txt","53.321","552","PARKER","",""
"29477 - 2023 Easement from Chadwell for 61 acres (filed 03-15-2023).txt","61.377","279","PARKER","R000081346","20279.001.000.60"
"29477 - 2023 Easement from Price for Lot 1 (filed 03-15-2023).txt","","","","R000121466","16354.001.001.00"
"29597 - 2022 Easement from Anastopoulos and Motl for 19 acres (filed 10-27-2022).txt","19.60","1069","BAYLOR","",""
"29693 - 2022 Easement from VS Homes for Lot 8 (filed 10-21-2022).txt","","","","",""
"29948 - 2022 Easement from Merritt for 10.37 acres (filed 10-13-2022).txt","10.37","1376 & 1271","PARKER","R000118658 & R000118657 21271.003.001.00","21376.013.001.00 &"
"29985 - 2022 Easement from Christenson for Lot 1 Christenson Addition (filed 09-19-2022).txt","","","","R000049888","21039.003.001.00"
"29997 - 2022 Easement for Northwest ISD (filed 03_02_2023).txt","","","","",""
"30090 - 2022 Easement from Cooper for 200 acres (filed).txt","200.476","1198, 388, 2058, 14","PARKER","",""
"30294 - 2022 Easement from Neal for 16 acres (filed 10-03-2022).txt","16.59","1576","Parker","R0000964653","21576.001.001.50"
"30294 - 2022 Easement from Wolf for 18 acres (filed 10-03-2022).txt","18","1576","PARKER","R000094860","21576.001.002.00"
"30349 - 2022 Easement from C4 Estates for Lot 7 (filed 11-17-2022).txt","","","","R000104051","1)859.001.007.00"
"30397 - 2022 Easement from Roberts for 7.56 acres (filed 10-19-2022).txt","7.56","337","Parker","R86807+R109336EOGRAPHIC ID 20337.009.002.00",""
"30482 - 2022 Easement from Amy Smith for 15.288 acres (filed 11-03-2022).txt","","760","PARKER","R 060045021","20760.007.000.00"
"30486 - 2022 Easement from Garner ISD for 2 acres (filed 11-17-2022).txt","2","1530","Parker","GEOGRAPHC ID:",""
"30560 - 2022 Easement from Pettigrew for 7 acres (filed 10-03-2022).txt","7,007","28 under","strument No. 202231170 in Parker","R000035237",""
"30560 - 2022 Easement from Smith for 3 acres (filed 10-03-2022).txt","3.067","28","parker","R000120706 GEOGRAPHUC ID:

 20028, 010,002.00",""
"30748 - 2022 Easement from Fry for 24 acres (filed 01-03-2023).txt","24.228","257","JACK","58176","22572-04035-00500-000000"
"30748 - 2022 Easement from Naron for 1 acre (filed 01-03-2023).txt","1.00","257","JACK","",""
"30783 - 2022 Easement from Bridges for Lot 2 (filed 03_02_2023).txt","","","","R000110042",""
"30784 - 2022 Easement from Aynes for 390 acres (filed 11-10-2022).txt","390.63","305 & 610","KNOX","",""
"30826 - 2022 Easement from Brownlee for 12.97 acres (filed 12-27-2022).txt","12.97","2426","PARKER","R000114989 & R000114992","22372.004.001.00 & 20347.002.001.00"
"30856 - 2023 Easement from Battles for 22 acres (filed 04-05-2023).txt","22.284","1655 & 1669","JACK","55132 & 55133","21655-00045-00700-000000"
"30893 - 2022 Easement from Mansell for 1.0 acre (filed 10-14-2022).txt","1.00","1984","Parker","R000083102","21984.008.006.00"
"30905 - 2022 Easement from Crosley for 10 acres (filed 12-12-2022).txt","10.00","615","WISE","R000013687","A0615.0005.00"
"30908 - 2022 Easement from Thompson for Lot 118 (filed 10-19-2022).txt","","","","R0D0023183","re730.001.118.00"
"310 Ranch Land & Cattle 963282_310 Ranch Land & Cattle 963282.txt","310","","","",""
"31026 - 2022 Easement from FBP for Lot 6-7 of Stagecoach (filed 09-19-2022).txt","","","","R000113318 & 17902.001.007.00 R000113319","17902,001.006.00 &"
"31040 - 2022 Easement from ZDF Investments for Lot 12 of Stagecoach (filed 09-19-2022).txt","","","","R000113324","17902,001.012.00"
"31058 - 2022 Easement from Baker for 13 acres (filed 12-27-2022).txt","13.170","1.79 + 193","Parker","",""
"31058 - 2022 Easement from Durham for defined easement (filed 02-06-2023).txt","","","","",""
"31058 - 2022 Easement from Kingsley for defined easement (filed 01-23-2023).txt","","","","",""
"31118 - 2022 Easement from Boone for 22.93 acres (filed 11-10-2022).txt","22.93","257","JACK","",""
"31133 - 2022 Easement from Baker for Lot 4 (filed 11-28-2022).txt","","","","",""
"31137 - 2022 Easement from Jesters for 16 acres (filed 10-03-2022).txt","16","1100","PARKER","R000050407 & R000090909","21100,007.000.00 & 21100.007.001.50"
"31169 - 2022 Easement from Harmon Condos for 11.77 acres (filed 10-14-2022).txt","11.77","1603","TARRANT","04233085, 04233115, 04233123","TAD MAP:

 2054-460, 2048-460"
"31210 - 2022 Easement from Kostelecky for Lot 8 Quail Valley (filed 09-19-2022).txt","","","","R0000223c09",""
"31238 - 2022 Easement from Ware for 144 acres (filed 10-14-2022).txt","144.489","921","Parker","",""
"31239 - 2022 Easement from Pemberton for 5 acres (sig).txt","5.634","2229","Parker","",""
"31337 - 2023 Easement from J2 Armadillo for 43 acres (filed 03-09-2023).txt","43.943","1661","PARKER","R000060119 and R000096842","21661 007 000 00 and 21661 007 000 50"
"31449 - 2022 Easement from Fox for 9.6 acres (filed 12-19-2022) (2).txt","9.6","794","BAYLOR","00794-00040-00000-000000 AND R000016370 00794-00010-00000-000000","R000016368 AND"
"31449 - 2022 Easement from Fox for 9.6 acres (filed 12-19-2022).txt","9.6","794","BAYLOR","00794-00040-00000-000000 AND R000016370 00794-00010-00000-000000","R000016368 AND"
"31449 - 2022 Easement from Wiles for 3.19 acres (filed 12-19-2022).txt","3.19","794","BAYLOR","R000017919",""
"31521 - 2022 Easement from Adamson for Lot 2 Sessums (filed 11-17-2022).txt","","","","R000095863",""
"31536 - 2022 Easement from Webb for 9.8 acres (filed 12-08-2022).txt","9.859","1678","PARKER","R000114239","21678.002.002.00"
"31537 - 2022 Easement from Roberson for Tract 6 (filed 11-23-2022).txt","","","","R977455",""
"31538 - 2022 Easement from CWE for Lots 25-26 Cool Place (filed 10-14-2022).txt","","","","",""
"31578 - 2022 Easement from Colliflower for Lot 1R Judy Addition (filed 10-14-2022).txt","","","","R000120654","14032.000-000.00"
"31698 - 2022 Easement from Boren for 2.01 acres (filed 12-27-2022).txt","2.01","1473","PARKER","",""
"31698 - 2022 Easement from Williams for 54 acres (filed 12-27-2022).txt","54.45","1473","PARKER","",""
"31711 - 2022 Easement from Schwingendorf for 17 acres (filed 11-16-2022).txt","17.693","616","WISE","",""
"31725 - 2022 Easement from Mitchell for 10 acres (filed 12-01-2022).txt","10.10","1915","PARKER","R000118661","21915.001.002.00"
"31774 - 2022 Easement from Renfro for 15 acres (filed 11-17-2022).txt","15.00 K","612","Parker","R0000430600",""
"31774 - 2022 Easement from Taylor for 12 acres (filed 11-17-2022).txt","12.22","612","Parker","R000043049",""
"31798 - 2022 Easement from Wilcox for Lot 16 (filed 10-27-2022).txt","","","","R000019732",""
"31825 - 2022 Easement from Proffitt for 13 acres (filed 01-23-2023).txt","13.848","936","PARKER","",""
"31837 - 2022 Easement from 1200 N. Kimball for Lot 38 (filed 12-01-2022).txt","","","","",""
"31853 - 2022 Easement from Jobe for 199 acres (filed 12-12-2022).txt","199.95","66782596 Palo P","to","",""
"31854 - 2022 Easement from Sherrill for 14.10 acres (filed 11-10-2022).txt","14.10","257","Jack","",""
"31888 - 2022 Easement from Griggs for Lot 1 (filed 11-17-2022).txt","","","","",""
"31890 - 2022 Easement from Elms for Lot 34 (filed 12-27-2022).txt","","","","R000117204","17233,002.034.00"
"31951 - 2023 Easement from Vandewater for 39 acres (filed 03-02-2023).txt","39.855","194 and 753","HOOD","",""
"31954 - 2022 Easement from Arceneaux for Lot 15 (filed 12-01-2022).txt","","","","","44456-7-15"
"31956 - 2022 Easement from Jackson for Lots 25-26 (filed 01-23-2023).txt","","","","R000012628","13700.085 026 the EASEMMENT PROPERTY shall be limited To that portion of the property within TO feet in all directions of"
"31956 - 2023 Easement from Mayers for Lot 19 (filed 01-23-2023).txt","","","","R000012579","13700.084.014.00"
"31988 - 2022 Easement from LaParis for 15 acres (filed 01-03-2023).txt","","","","19054-00045-00006-000000",""
"32019 - 2023 Easement from Elder for Lot 1 (filed 03_02_2023).txt","","","","R000122716","11412.001-001-00"
"32033 - 2023 Easement from Scherer for 620 Shady O.txt","0.66","706","TARRANT","03942384","TAD MAP 2102-464"
"32081 - 2023 Easement for Lot 52 from multiple parties (filed 03-02-2023).txt","","","","00103624","TAD MAP 2018-476"
"32096 - 2022 Easement from Lopez for defined 0.187 acres (filed 01-17-2023).txt","","","","R000011073 and R000014263 01738-00010-00000-000000","00123-00040-00000-000000 and"
"32139 - 2022 Easement from Shelton for Lot 8 (filed 12-01-2022).txt","","","","R000114858",""
"32145 - 2022 Easement from Salazar for 53 acres (filed 12-15-2022).txt","53.30","215","Jack","8184","2075-00039-02000-000000"
"32216 - 2022 Easement from The Jumba for 83 acres (filed 12-08-2022).txt","83.564","775","PARKER","",""
"32227 - 2023 Easement from Katie's for Lot 2-3 (filed 02-06-2023).txt","","","","R000122500 AND R000122501","17148.001.002.00 AND 17148.00"
"32229 - 2023 Easement from Buck Branch for 3 acres (filed Parker 03-02-2023).txt","3.00","","","",""
"32229 - 2023 Easement from Buck Branch for 3 acres (filed Tarrant 03-02-2023).txt","3.00","","","",""
"32230 - 2022 Easement from Forrester for Lot 12 (filed 12-01-2022).txt","","","","R000013902",""
"32242 - 2023 Easement for Lu Properties for Lot 3R-5R (filed 04-20-2023).txt","","","","R000109972","11712.00A.003.40"
"32268 - 2023 Easement from MRW (filed 03_02_2023).txt","","","","",""
"32282 - 2023 Easement for Loving Springs Lots 3R, 5R, 20R, 24R (filed 04-20-2023).txt","","","","R000121468, R000121429, R000121443, T2777.001.020200, 12777.001.024.00 R000121447","12777.001.003.00, 12777.001.005.00,"
"32283 - 2023 Easement from Langford for 14 acres  (filed 04-20-2023).txt","14.290","802 Section 253","PARKER","R000054885","21414.001,001.00"
"32297 - 2022 Easement from Wood for Lot 3R (filed 11-15-2022).txt","","","Texas, as more fully described in an instrument recorded in Volume, Page of the Records of E-","R000096142","11444.001.003.00"
"32324 - 2023 Easement from Reynolds for 23 acres (filed 01-23-2023).txt","23.724","1284","Parker","R000116495",""
"32362 - 2023 Easement from Holt for Tompkins Acres (filed 03-15-2023).txt","","","","R000119471","18454.001-001-00"
"32375 - 2022 Easement from DOC for Lot 7 (filed 12-27-2022).txt","","","","R000122170","11825.001.007.00"
"32401 - 2022 Easement from CWE for Lot 27 (filed 12-08-2022).txt","","","","R000117632","11406.002.027.00"
"32413 - 2022 Easement from Mathis for Lot 24 (filed 12-08-222).txt","","","","R000099024","12970.006.0024.0"
"32442 - 2023 Easement from Jones for Tract 5 (filed 03-30-2023).txt","","","","R000116291","22551.001,006.00"
"32443 - 2022 Easement from Fincher for 6.74 acres (filed 12-27-2022).txt","6.74","2733","Parker","",""
"32443 - 2022 Easement from Pearce for 135 acres (filed 12-27-2022).txt","135.26","2733","PARKER","B000068356 $",""
"32448 - 2023 Easement from Gomez for Lot 13 (filed 03_02_223).txt","","","","R000028036","18240.006.013.00"
"32512 - 2023 Easement for Larry Sullivan (filed 04-10-2023).txt","54.717","1484","PARKER","","21484.003.001.50"
"32519 - 2023 Easement from Dannah for 1,553 acres (filed 03-13-2023).txt","1,553.84","149, 263, 1139, 1507","BAYLOR","R000011347","00263-00060-00000-000000"
"32522 - 2022 Easement from Finch for Lot 66 (filed 11-17-2022).txt","","","","R000032096","19117.001.066.00"
"32577 - 2023 Easement from McCarver for Lot 1 (filed 03_02_2023).txt","","","","R000121103","10881.001.001.00"
"32590 - 2023 Easement from Familia De Reyes for 421 acres (filed 03-15-2023).txt","421.276","760 and 1282","PARKER","R000045024 & R000045023","20760.009,000.50 & 20760,009,000.00"
"32599 - 2022 Easement from Teresa York (filed 12-08-2022).txt","","","","",""
"32623 - 2023 Easement from McCoy for Lot 28 (filed 03_02_2023).txt","","","","R000034218","19775,001.001.00"
"32640 - 2022 Easement from Hemlock for 105 acres (filed 02-03-2023).txt","","","","",""
"32695 - 2023 Easement from Plowman for Lot 1 (filed 03-02-2023).txt","","","","R000123049","13579.001.001.00"
"32723 - 2023 Easement from Hardin heirs for 229 acres (filed 01-23-2023).txt","","1884 and 1038","Parker","",""
"32760 - 2022 Easement from Fife for 34 acres (filed 12-27-2022).txt","34.866 DAVID WHITE, AND ROBERT CARR","939, 1353, 1614, 2376","PARKER","R000066088, R000119707","20939 00100300 22376.001.000 00"
"32790 - 2022 Easement from Corder for 21 acres (filed 01-23-2023).txt","","2300,2289","Parker w. Hendrick","R000013719","14151.001.009.00, R000099337 75821 14157-001.010-10"
"32828 - 2022 Easement from Fialho for 5 acres (filed 01-23-2023).txt","5.872","427","Parker","R0000123269","20427.001.002.00"
"32828 - 2023 Easement from Hampton for 256 acres (filed 01-23-2023).txt","256.158","1741","PARKER","",""
"32877 - 2023 Easement from Clark for Lot 3 (filed 02-06-2023).txt",",","","","42822473","TAD MAP 1988-464"
"32938 - 2023 Easement from Pineda for Lot 9 (filed 01-30-2023).txt","","","","",""
"32944 - 2022 Easement from Four G Cattle for 326 acres (filed 01-10-2023).txt","326","101","BAYLOR","R000011023","00101-00110-00000-000000"
"32964 - 2022 Easement from Abel for Lot 8 (filed 01-23-2023).txt","","","","40033899","TAD Map:

 2036-464"
"32968 - 2022 Easement from Cohlmeyer for TR 33 (filed 12-27-2022).txt","","","","R000025275",""
"33038 - 2023 Easement from Gideons for 10 acres (filed 01-23-2023).txt","10.01","1373","PARKER","R000117057",""
"33058 - 2023 Easement from May for Lot 2 (filed 02-06-2023).txt","","","","",""
"33088 - 2023 Easement from Bolfing for Tract 20 (filed 03-23-2023).txt","","","","R000025255","13474.000.0020.0"
"33125 - 2023 Easement from Blough for 12 acres (filed 04-05-2023).txt","12.79","257, BLOCK 2, LOT 30","JACK","61605","22572-30035-00602-000000"
"33131 - 2023 Easement for Campbell for 20 acres (filed 03_02_2023).txt","20.9814","416","PARKER","",""
"33168 - 2023 Easement from Tannahill for 14 acres (filed 03_02_2023).txt","14.27","2438","PARKER","R000066488","22438.007.000.00"
"33184 - 2023 Easement from Triad (filed 02-06-2023).txt","","","","",""
"33237 - 2023 Easement from Burden for 4 acres (filed 02-06-2023).txt","4.02","35","PARKER","R000035359","20035.001.002.00"
"33242 - 2023 Easement from GTT Ranch for 190 acres (filed 03_02_2023).txt","190.90","2100 & 939","PARKER","R000048415, R000048416 22100.002.000.00, 22100,002.000.50 R000063874. R000073145","20939.004.000.00 20939.004.001.00,"
"33273 - 2023 Easement from Lacy for Lot 4 (filed 03-02-2023).txt","","","","R000121491","11823.001.004.00"
"33281 - 2023 Easement from Shackelford for 5 acres (filed 03-09-2023).txt","5.661","12","Parker","R000009309","12883,001,003.00"
"33325 - 2023 Easement from Waddell Bragg for 23 acres (filed 04-20-2023).txt","23.197","743","PARKER","","20743.001.001.00"
"33339 - 2023 Easement from Cyclone for 4.56 acres (filed 03-09-2023).txt","4.56","1090 and 37","WISE","R000001609","A0037.0046.02"
"33339 - 2023 Easement from Simpson for 4.46 acres (filed 03-09-2023).txt","","37","WISE","R000001575","A0037.0025.00"
"33361 - 2023 Easement from Pitts for Tract 3 (filed 03_02_2023).txt","","","","R000081750","12141.001.003.00"
"33427 - 2023 Easement from McNeal for 7 acres (filed 02-06-2023).txt","7.665","1465","PARKER","R000056453 and 21465.006.000.50 R000056454","21465.006.000.00 and"
"33440 - 2023 Easement for Duran for Sea Stallion (filed 03-15-2023).txt","","","","R000122723","17309.001.00C.00"
"33479 - 2023 Easement from Hawley for 4.6 acres (filed 03-23-2023).txt","4,697","1814","PARKER","R000061690 & R000122249","21814.036.000.00 & 21814.036.003.00"
"33528 - 2023 Easement from Ellison for 5.67 acres revised version 03-22-2023 (filed 03-30-2023).txt","5.678","532","TARRANT","","TAD Map:

 1982-416"
"33536 - 2023 Easement from Weaver for Lot 14 (filed 03-09-2023).txt","","","","R000117836","13156.00C.014.00"
"33537 - 2023 Easement from Lem Hollow for partial acreage (filed 03-09-2023).txt","4-002/1000","27","HOOD","R000105453","20027.000.0060.0"
"33564 - 2023 Easement from Smith for 2 acres (filed 04-14-2023).txt","2.00","330","HOOD","R000093573","20330.000.0010.1 1"
"33567 - 2023 Easement from Klein for Lot 3-4 (filed 03_02_2023).txt","","","","R000072967 and 11778.001.004.00 R000072968","11778.001.003.00 and"
"33569 - 2023 Easement from Trinity Classic Homes for Lot 3 (filed 03-23-2023).txt","","","","R000120669","14554.001.003.00"
"33609 - 2023 Easement from Biggs for 226 acres (filed 03-14-2023).txt","226.87","238 OF H&TC RR CO","BAYLOR","",""
"33665 - 2023 Easement from Rock'n F Parent (filed 03_02_2023).txt","","","","R000104046","11859.001.002.00"
"33700 - 2023 Easement from Cordova for 13.32 acres (filed 03_02_2023).txt","13.32","37","PARKER","",""
"33701 - 2023 Easement from Peters for Lot 17 (filed 03-23-2023).txt","","","","R000076513","11780.001.018.10"
"33706 - 2023 Easement for Hernandez for 5 acres (filed 04-14-2023).txt","5.343","1764","PARKER","R000085600","11625.002.005.00"
"33711 - 2023 Easement from McElroy for 50 acres (filed 03-09-2023).txt","50.819","2646","PARKER","R000122246","20148.001.002.00"
"33769 - 2023 Easement from Ramirez for Lot 1 (filed 04-14-2023).txt","","","","R000122644","17566.001.001.00"
"33803 - 2023 Easement from Lukacs for 8 acres (filed 03-30-2023).txt","8.115","2278","PARKER","R000065323","22278.001.005.00"
"33899 - 2023 Easement from Lonsdale for Lot 10 (filed 04-14-2023).txt","","","","R000101037","13257.003.010.00"
"33899 - 2023 Easement from Wyler for 111 acres (filed 03-30-2023).txt","111","","","R000038759","20288.005.000.00"
"33921 - 2023 Easement from Nichols for 15 acres  (filed 04-20-2023).txt","15.000","1746","PARKER","R000121270","21746.006.001.00"
"33934 - 2023 Easement from Roberts for Tract 29 (filed 04-05-2023).txt","","","","R000010966",""
"33979 - 2023 Easement for Rhody for Lots 25-27 (filed 04-05-2023).txt","","","","R000012410, R000012411, R000012412 13700.042.027.00","13700.042.026.00,"
"34192 - 2023 Easement from Julie Ford for 2 acres (filed 04-20-2023).txt","2.000","County, Texas, as more fully described","an instrument recorded in Document 201318889 of the DEED Records of PARKER","R000045865","20802.008.000.00"
"34224 - 2023 Easement from O'Neal for 10 acres (filed 04-05-2023).txt","10.40","1606","PARKER","R000059503 and R000112151","21606.010.000.00 and 21606.010 000.50"
"34248 - 2023 Easement for Murphey for 5 acres (filed 04-14-2023).txt","","","","R000023033","16730.001.010.00"
"34253 - 2023 Easement for Burke for 2 acres (filed 04-14-2023).txt","2.00","1232","PARKER","R000123394","21232.001.003.00"
"34295 - 2023 Easement for Mule Creek Homes at Lazy J Estates (filed 04-20-2023).txt","","","","","14477.000.000.00"
"34331 - 2023 Easement for Morris for Lot 1 (filed 04-20-2023).txt","","","","R000123378","18009.001.001.00"
"34332 - 2023 Easement from Michaelis for Lot 3 (filed 04-20-2023).txt","","","","R000123380","18009,001.003.00"
"3501 Tin Top Storage 964131_3501 Tin Top Storage 964131.txt","7.560","434","Hood","",""
"611-Tx 98384_611-TX 98384.txt","","","","",""
"71896 - Hillwood Easement Tracewood Way (filed 02-.txt","","","","",""
"72382 - 2023 Easement for 2HM Investments (filed 03-02-2023).txt","","","","",""
"75818 - 2023 Easement from Windmill Creeks for 90 lots (filed 02-06-2023).txt","","","","",""
"76042 - 2023 Easement from Michael Smith Trust for 5.0 acres (filed 04-05-2023).txt","5.0","1620","PARKER","R000059668","21620.003.000.00"
"76042 - 2023 Easement from Mooneyham for 2.26 acres (filed 03-30-2023).txt","2.26","1620","PARKER","R000122703","21620.002.001.00"
"76042 - 2023 Easement from Vivian Smith Trust for 141.0 acres (filed 03-30-2023).txt","141.740","1620","PARKER","","21620.002.000.50"
"76588 - 2023 Easement for Andy Ranch Water Fall Homes (filed 03-23-2023).txt","","","","R000067153","22531.002.000.50"
"76589 - 2023 Easement from Ultra for Twin Oaks (filed 03-09-2023).txt","","","","",""
"77258 - 2023 Easement for All In Ranches (filed 04-05-2023).txt","","","","",""
"961280 - 2022 Easement from Dostie for 77 acres (filed 11-14-2022).txt","77.59","257","Jack","",""
"962208 - 2022 Easement from DKO for Lots 1-60 (filed 11-10-2022).txt","","","","",""
